종목코드,회사명,induty_code
052670,(주)제일바이오,21230
456490,교보14호기업인수목적 주식회사,6619
454640,하나29호기업인수목적 주식회사,66199
450050,하이제8호기업인수목적 주식회사,66199
455250,케이비제25호기업인수목적 주식회사,66199
446150,유안타제12호기업인수목적 주식회사,661
208340,(주)파멥신,212
150840,(주)인트로메딕,27199
057880,(주)푸른소나무,872
478780,대신밸런스제18호기업인수목적(주),66199
111870,케이에이치미래물산(주),265
448830,미래에셋비전기업인수목적3호 주식회사,66199
174880,(주)장원테크,26422
226360,케이에이치건설 주식회사,412
054630,(주)에이디칩스,339
448760,아이비케이에스제22호기업인수목적 주식회사,66199
335890,(주)비올메디컬,271
151910,(주)퓨처코어,262
014200,(주)광림,301
442770,아이비케이에스제21호기업인수목적 주식회사,661
448370,하나27호기업인수목적 주식회사,66199
454750,하나28호기업인수목적 주식회사,66199
442900,미래에셋드림기업인수목적1호 주식회사,66199
446750,하나26호기업인수목적 주식회사,661
448740,삼성기업인수목적8호(주),66199
449020,유안타제13호기업인수목적 주식회사,66199
024810,이화전기공업(주),2811
096040,이트론(주),467
446190,미래에셋비전기업인수목적2호 주식회사,66199
019590,(주)에스유앤피,64209
430220,신영해피투모로우제8호기업인수목적 주식회사,66199
044060,조광아이엘아이(주),29133
290380,(주)대유,2031
445970,신영해피투모로우제9호기업인수목적 주식회사,66199
445360,비엔케이제1호기업인수목적(주),66199
950110,SBI핀테크솔루션즈(주),58222
440820,엔에이치기업인수목적27호(주),66199
023460,씨앤에이치(주),649
442310,대신밸런스제14호기업인수목적(주),661
440790,교보13호기업인수목적 주식회사,66199
476470,케이비제28호기업인수목적 주식회사,66199
442130,유진기업인수목적9호 주식회사,66199
439410,엔에이치기업인수목적26호,6619
226440,(주)시스네오텍,292
323230,엠에프엠코리아(주),143
071460,(주)위니아,28519
072520,(주)제넨바이오,701
468510,삼성기업인수목적9호(주),661
029960,(주)코엔텍,353
438580,엔에이치기업인수목적25호 주식회사,66199
439730,아이비케이에스제20호기업인수목적 주식회사,661
439250,삼성기업인수목적7호 주식회사,66199
437780,엔에이치기업인수목적24호 주식회사,6619
435620,하나금융25호기업인수목적 주식회사,66199
435870,에스케이증권제8호기업인수목적 주식회사,66199
456440,디비금융제11호기업인수목적 주식회사,64999
457390,대신밸런스제15호기업인수목적 주식회사,66199
435380,유안타제10호기업인수목적 주식회사,661
477530,한국제14호기업인수목적 주식회사,66199
418210,신한제10호기업인수목적 주식회사,661
214870,(주)한울비앤씨,465
